Campaigns,,,,,,,,,,,,,,,,,,,
,Поле,Тип,PK,FK,NOT NULL,Индекс,,,,,,,,,,,,,
,CampaignID,INT,+,,+,+,AUTOINCREMENT,,,,,,,,,,,,
,Title,String,,,,,,,,,,,,,,,,,
,StartDate,TIMESTAMP,,,,,,,,,,,,,,,,,
,EndDate,TIMESTAMP,,,,,,,,,,,,,,,,,
Sessions,,,,,,,,,,,,,,,,,,,
,SessionId,INT,+,,+,+,AUTOINCREMENT,,,,,,,,,,,,
,Title,String,,,,,,,,,,,,,,,,,
,Date,TIMESTAMP,,,+,,,,,,,,,,,,,,
,CampaignId,,,+,+,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,NoteId,INT,+,,+,+,AUTOINCREMENT,,,,,,,,,,,,
,Title,String,+,,,,,,,,,,,,,,,,
,AuthorId,INT,,+,+,,,,,,,,,,,,,,
,Content,JSONB,,,,,,,,,,,,,,,,,
,SessionId,INT,,+,,,,,,,,,,,,,,,
PlayerToCampaign,,,,,,,,,,,,,,,,,,,
,CampaignID,INT,+,+,+,+,,,,,,,,,,,,,
,PlayerID,INT,+,+,+,+,,,,,,,,,,,,,
,PlayerRole,INT,,,+,+,,,,,,,,,,,,,
Players,,,,,,,,,,,,,,,,,,,
,PlayerId,INT,+,,,+,AUTOINCREMENT,,,,,,,,,,,,
,Name,String,,,,,,,,,,,,,,,,,
,UserID,INT,,+,,,,,,,,,,,,,,,
Users,,,,,,,,,,,,,,,,,,,
,UserID,INT,+,,,+,AUTOINCREMENT,,,,,,,,,,,,
,Name,String,,,,,,,,,,,,,,,,,
,UserRole,INT,,+,+,,,,,,,,,,,,,,
Roles,,,,,,,,,,,,,,,,,,,
,RoleID,INT,+,,+,+,AUTOINCREMENT,,,,,,,,,,,,
,Name,String,,,+,,,,,,,,,,,,,,
RolesToFunctions,,,,,,,,,,,,,,,,,,,
,LinkId,INT,+,,,+,AUTOINCREMENT,,,,,,,,,,,,
,RoleId,INT,,+,,+,,,,,,,,,,,,,
,FunctionID,,,+,,+,,,,,,,,,,,,,
Functions,,,,,,,,,,,,,,,,,,,
,FunctionID,INT,+,,,+,AUTOINCREMENT,,,,,,,,,,,,
,Name,String,,,,,,,,,,,,,,,,,
